token,en,zh-Hans,ja,es,de,fr,note
app.name,GPT-6 Astra Concept,GPT-6 Astra Concept,GPT-6 Astra Concept,GPT-6 Astra Concept,GPT-6 Astra Concept,GPT-6 Astra Concept,产品名，各端标题栏与关于页。不叫 GPT-6 Astra：那是 OpenAI 的产品名，这里是复刻，Concept 把这层区别写进招牌
common.language,Language,语言,言語,Idioma,Sprache,Langue,导航条语言切换器标签
nav.demo,Full screen,全屏 Demo,フルスクリーン,Pantalla completa,Vollbild,Plein écran,header nav: link to the full-screen demo
site.footer,One parameter set. Four ways to look at it.,同一组参数，四种看法。,同じパラメータ一式を、四つの見方で。,Un solo juego de parámetros. Cuatro maneras de mirarlo.,Ein Parametersatz. Vier Blickwinkel.,Un seul jeu de paramètres. Quatre façons de le regarder.,页脚口号
common.reset,Reset,复位,リセット,Restablecer,Zurücksetzen,Réinitialiser,参数复位按钮
page.demo.controls,Parameters,参数,パラメータ,Parámetros,Parameter,Paramètres,滑块面板标题
page.demo.derived,Derived,推导量,導出値,Derivados,Abgeleitet,Valeurs dérivées,推导量面板标题
origin.verified,Verified,可核实,確認済み,Verificado,Belegt,Vérifié,考据标签
origin.reconstructed,Rebuilt,重建,再構成,Reconstruido,Rekonstruiert,Reconstruit,考据标签
page.demo.title,Full screen · GPT-6 Astra Concept,全屏 · GPT-6 Astra Concept,全画面 · GPT-6 Astra Concept,Pantalla completa · GPT-6 Astra Concept,Vollbild · GPT-6 Astra Concept,Plein écran · GPT-6 Astra Concept,Demo 页静态标题
page.demo.title_of,{name} · full screen,{name} · 全屏,{name} · 全画面,{name} · pantalla completa,{name} · Vollbild,{name} · plein écran,Demo 页标题
page.demo.about,About this project,关于这个项目,このプロジェクトについて,Acerca del proyecto,Über dieses Projekt,À propos du projet,Demo 页左下角：通往说明页（为什么做 / GPT-6 简介 / 出处）
page.demo.panel,Panel,面板,パネル,Panel,Panel,Panneau,Demo 页面板开关
error.content_load_failed,Could not load the entries: {msg},收录内容加载失败：{msg},収録データを読み込めませんでした：{msg},No se han podido cargar las entradas: {msg},Die Einträge konnten nicht geladen werden: {msg},Impossible de charger les entrées : {msg},内容加载错误
page.about.title,GPT-6 Astra Concept,GPT-6 Astra Concept,GPT-6 Astra Concept,GPT-6 Astra Concept,GPT-6 Astra Concept,GPT-6 Astra Concept,home: browser tab title
page.about.eyebrow,An open-source reconstruction,开源复刻,オープンソースによる再構築,Una reconstrucción de código abierto,Eine Open-Source-Rekonstruktion,Une reconstruction open source,home: small label above the heading
page.about.heading,"The GPT-6 Astra star field, rebuilt as mathematics",把 GPT-6 Astra 的星系粒子场重建成数学,GPT-6 Astra の星のフィールドを、数式として再構築する,"El campo de estrellas de GPT-6 Astra, reconstruido como matemáticas","Das Sternenfeld von GPT-6 Astra, als Mathematik neu gebaut","Le champ d’étoiles de GPT-6 Astra, reconstruit en mathématiques",home: h1
